date,hour,pv-output
inbetween,0,0
inbetween,1,0
inbetween,2,0
inbetween,3,0
inbetween,4,0
inbetween,5,0.005
inbetween,6,0.0325
inbetween,7,0.1025
inbetween,8,0.195
inbetween,9,0.275
inbetween,10,0.33
inbetween,11,0.3625
inbetween,12,0.37
inbetween,13,0.3475
inbetween,14,0.295
inbetween,15,0.225
inbetween,16,0.1425
inbetween,17,0.0625
inbetween,18,0.015
inbetween,19,0
inbetween,20,0
inbetween,21,0
inbetween,22,0
inbetween,23,0
inbetween,0,0
inbetween,1,0
inbetween,2,0
inbetween,3,0
inbetween,4,0
inbetween,5,0.005
inbetween,6,0.0275
inbetween,7,0.09
inbetween,8,0.1775
inbetween,9,0.26
inbetween,10,0.32
inbetween,11,0.3525
inbetween,12,0.3525
inbetween,13,0.3325
inbetween,14,0.285
inbetween,15,0.2075
inbetween,16,0.1325
inbetween,17,0.06
inbetween,18,0.0175
inbetween,19,0.0025
inbetween,20,0
inbetween,21,0
inbetween,22,0
inbetween,23,0
inbetween,0,0
inbetween,1,0
inbetween,2,0
inbetween,3,0
inbetween,4,0
inbetween,5,0.005
inbetween,6,0.0275
inbetween,7,0.09
inbetween,8,0.18
inbetween,9,0.2675
inbetween,10,0.3275
inbetween,11,0.3575
inbetween,12,0.3575
inbetween,13,0.33
inbetween,14,0.2825
inbetween,15,0.2075
inbetween,16,0.125
inbetween,17,0.0575
inbetween,18,0.015
inbetween,19,0.0025
inbetween,20,0
inbetween,21,0
inbetween,22,0
inbetween,23,0
inbetween,0,0
inbetween,1,0
inbetween,2,0
inbetween,3,0
inbetween,4,0
inbetween,5,0.005
inbetween,6,0.03
inbetween,7,0.1025
inbetween,8,0.2
inbetween,9,0.295
inbetween,10,0.3675
inbetween,11,0.4
inbetween,12,0.395
inbetween,13,0.3675
inbetween,14,0.315
inbetween,15,0.24
inbetween,16,0.15
inbetween,17,0.07
inbetween,18,0.02
inbetween,19,0.0025
inbetween,20,0
inbetween,21,0
inbetween,22,0
inbetween,23,0
inbetween,0,0
inbetween,1,0
inbetween,2,0
inbetween,3,0
inbetween,4,0
inbetween,5,0.005
inbetween,6,0.03
inbetween,7,0.0975
inbetween,8,0.185
inbetween,9,0.265
inbetween,10,0.32
inbetween,11,0.35
inbetween,12,0.355
inbetween,13,0.3325
inbetween,14,0.285
inbetween,15,0.225
inbetween,16,0.1425
inbetween,17,0.065
inbetween,18,0.015
inbetween,19,0
inbetween,20,0
inbetween,21,0
inbetween,22,0
inbetween,23,0
inbetween,0,0
inbetween,1,0
inbetween,2,0
inbetween,3,0
inbetween,4,0
inbetween,5,0.0025
inbetween,6,0.025
inbetween,7,0.085
inbetween,8,0.17
inbetween,9,0.25
inbetween,10,0.31
inbetween,11,0.33
inbetween,12,0.3225
inbetween,13,0.3075
inbetween,14,0.2725
inbetween,15,0.215
inbetween,16,0.1375
inbetween,17,0.065
inbetween,18,0.0175
inbetween,19,0.0025
inbetween,20,0
inbetween,21,0
inbetween,22,0
inbetween,23,0
inbetween,0,0
inbetween,1,0
inbetween,2,0
inbetween,3,0
inbetween,4,0
inbetween,5,0.005
inbetween,6,0.025
inbetween,7,0.0825
inbetween,8,0.17
inbetween,9,0.255
inbetween,10,0.3175
inbetween,11,0.345
inbetween,12,0.35
inbetween,13,0.3275
inbetween,14,0.2825
inbetween,15,0.22
inbetween,16,0.1375
inbetween,17,0.065
inbetween,18,0.02
inbetween,19,0.0025
inbetween,20,0
inbetween,21,0
inbetween,22,0
inbetween,23,0
