date,hour,pv-output
summer,0,0
summer,1,0
summer,2,0
summer,3,0
summer,4,0
summer,5,0.015
summer,6,0.0675
summer,7,0.16
summer,8,0.265
summer,9,0.36
summer,10,0.43
summer,11,0.47
summer,12,0.4775
summer,13,0.4575
summer,14,0.4075
summer,15,0.335
summer,16,0.2425
summer,17,0.14
summer,18,0.055
summer,19,0.0125
summer,20,0
summer,21,0
summer,22,0
summer,23,0
summer,0,0
summer,1,0
summer,2,0
summer,3,0
summer,4,0
summer,5,0.015
summer,6,0.07
summer,7,0.1725
summer,8,0.285
summer,9,0.385
summer,10,0.4625
summer,11,0.5
summer,12,0.5025
summer,13,0.475
summer,14,0.4175
summer,15,0.34
summer,16,0.24
summer,17,0.1375
summer,18,0.055
summer,19,0.0125
summer,20,0
summer,21,0
summer,22,0
summer,23,0
summer,0,0
summer,1,0
summer,2,0
summer,3,0
summer,4,0
summer,5,0.015
summer,6,0.065
summer,7,0.1575
summer,8,0.2575
summer,9,0.3475
summer,10,0.41
summer,11,0.4425
summer,12,0.4525
summer,13,0.4375
summer,14,0.4
summer,15,0.33
summer,16,0.2375
summer,17,0.135
summer,18,0.05
summer,19,0.0125
summer,20,0
summer,21,0
summer,22,0
summer,23,0
summer,0,0
summer,1,0
summer,2,0
summer,3,0
summer,4,0
summer,5,0.0125
summer,6,0.0625
summer,7,0.155
summer,8,0.2625
summer,9,0.36
summer,10,0.425
summer,11,0.4575
summer,12,0.455
summer,13,0.435
summer,14,0.3875
summer,15,0.3175
summer,16,0.22
summer,17,0.1225
summer,18,0.0475
summer,19,0.01
summer,20,0
summer,21,0
summer,22,0
summer,23,0
summer,0,0
summer,1,0
summer,2,0
summer,3,0
summer,4,0
summer,5,0.015
summer,6,0.0625
summer,7,0.1425
summer,8,0.235
summer,9,0.3175
summer,10,0.3775
summer,11,0.4225
summer,12,0.4375
summer,13,0.4175
summer,14,0.3725
summer,15,0.3
summer,16,0.215
summer,17,0.125
summer,18,0.0525
summer,19,0.0125
summer,20,0
summer,21,0
summer,22,0
summer,23,0
summer,0,0
summer,1,0
summer,2,0
summer,3,0
summer,4,0
summer,5,0.015
summer,6,0.0675
summer,7,0.1675
summer,8,0.2825
summer,9,0.3775
summer,10,0.445
summer,11,0.4775
summer,12,0.485
summer,13,0.4625
summer,14,0.415
summer,15,0.34
summer,16,0.2425
summer,17,0.1325
summer,18,0.05
summer,19,0.0125
summer,20,0
summer,21,0
summer,22,0
summer,23,0
summer,0,0
summer,1,0
summer,2,0
summer,3,0
summer,4,0
summer,5,0.015
summer,6,0.065
summer,7,0.165
summer,8,0.28
summer,9,0.3825
summer,10,0.46
summer,11,0.5
summer,12,0.5125
summer,13,0.49
summer,14,0.44
summer,15,0.3625
summer,16,0.26
summer,17,0.145
summer,18,0.055
summer,19,0.0125
summer,20,0
summer,21,0
summer,22,0
summer,23,0
