date,hour,pv-output
winter,0,0
winter,1,0
winter,2,0
winter,3,0
winter,4,0
winter,5,0
winter,6,0
winter,7,0.0025
winter,8,0.03
winter,9,0.085
winter,10,0.1325
winter,11,0.1675
winter,12,0.1825
winter,13,0.17
winter,14,0.13
winter,15,0.0675
winter,16,0.0175
winter,17,0.0025
winter,18,0
winter,19,0
winter,20,0
winter,21,0
winter,22,0
winter,23,0
winter,0,0
winter,1,0
winter,2,0
winter,3,0
winter,4,0
winter,5,0
winter,6,0
winter,7,0
winter,8,0.025
winter,9,0.07
winter,10,0.1125
winter,11,0.1425
winter,12,0.1525
winter,13,0.1425
winter,14,0.1125
winter,15,0.0625
winter,16,0.02
winter,17,0.0025
winter,18,0
winter,19,0
winter,20,0
winter,21,0
winter,22,0
winter,23,0
winter,0,0
winter,1,0
winter,2,0
winter,3,0
winter,4,0
winter,5,0
winter,6,0
winter,7,0.0025
winter,8,0.025
winter,9,0.08
winter,10,0.13
winter,11,0.17
winter,12,0.19
winter,13,0.1775
winter,14,0.135
winter,15,0.07
winter,16,0.02
winter,17,0.0025
winter,18,0
winter,19,0
winter,20,0
winter,21,0
winter,22,0
winter,23,0
winter,0,0
winter,1,0
winter,2,0
winter,3,0
winter,4,0
winter,5,0
winter,6,0
winter,7,0.0025
winter,8,0.0275
winter,9,0.08
winter,10,0.13
winter,11,0.165
winter,12,0.1775
winter,13,0.1625
winter,14,0.1275
winter,15,0.075
winter,16,0.025
winter,17,0.0025
winter,18,0
winter,19,0
winter,20,0
winter,21,0
winter,22,0
winter,23,0
winter,0,0
winter,1,0
winter,2,0
winter,3,0
winter,4,0
winter,5,0
winter,6,0
winter,7,0.0025
winter,8,0.03
winter,9,0.085
winter,10,0.1375
winter,11,0.1725
winter,12,0.1925
winter,13,0.1775
winter,14,0.135
winter,15,0.075
winter,16,0.0225
winter,17,0.0025
winter,18,0
winter,19,0
winter,20,0
winter,21,0
winter,22,0
winter,23,0
winter,0,0
winter,1,0
winter,2,0
winter,3,0
winter,4,0
winter,5,0
winter,6,0
winter,7,0.0025
winter,8,0.0325
winter,9,0.1025
winter,10,0.1675
winter,11,0.2175
winter,12,0.23
winter,13,0.205
winter,14,0.1575
winter,15,0.09
winter,16,0.0275
winter,17,0.0025
winter,18,0
winter,19,0
winter,20,0
winter,21,0
winter,22,0
winter,23,0
winter,0,0
winter,1,0
winter,2,0
winter,3,0
winter,4,0
winter,5,0
winter,6,0
winter,7,0.0025
winter,8,0.03
winter,9,0.08
winter,10,0.125
winter,11,0.155
winter,12,0.165
winter,13,0.1575
winter,14,0.1225
winter,15,0.07
winter,16,0.025
winter,17,0.0025
winter,18,0
winter,19,0
winter,20,0
winter,21,0
winter,22,0
winter,23,0
