date,hour,hh1: el,hh1: heat,hh2: el,hh2: heat,hh3: el,hh3: heat,hh4: el,hh4: heat,hh5: el,hh5: heat,hh6: el,hh6: heat,hh7: el,hh7: heat,hh8: el,hh8: heat,hh9: el,hh9: heat,hh10: el,hh10: heat
inbetween,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inbetween,0,0.051,0.981,0.072,0.818,0.036,0.981,0.101,0.981,0.045,1.308,0.168,1.472,0.097,1.962,0.138,2.289,0.074,2.126,0.132,1.962
inbetween,1,0.049,1.145,0.09,1.145,0.038,0.981,0.092,1.635,0.041,1.308,0.141,2.453,0.094,1.472,0.115,2.126,0.066,1.962,0.137,2.616
inbetween,2,0.05,1.145,0.076,1.145,0.039,0.818,0.093,1.145,0.043,1.308,0.118,1.472,0.095,1.962,0.097,2.126,0.072,2.126,0.144,2.453
inbetween,3,0.05,0.981,0.072,1.145,0.037,1.635,0.096,1.472,0.042,1.145,0.153,1.308,0.105,1.635,0.096,2.453,0.065,2.289,0.145,1.962
inbetween,4,0.05,1.472,0.069,0.818,0.036,0.818,0.091,0.818,0.044,1.635,0.314,1.962,0.145,1.962,0.118,2.453,0.055,2.453,0.152,2.453
inbetween,5,0.05,1.308,0.071,1.472,0.039,1.798,0.094,1.308,0.054,1.472,0.472,1.962,0.214,2.289,0.145,2.944,0.063,2.453,0.173,4.25
inbetween,6,0.072,1.145,0.148,0.654,0.289,2.615,0.75,1.145,0.625,0.981,0.795,2.289,0.607,1.635,0.349,2.453,0.381,2.453,0.598,4.086
inbetween,7,0.12,0.981,0.395,1.962,0.498,0.327,0.775,1.635,0.608,1.635,0.728,1.799,0.794,1.308,0.526,2.616,0.643,2.289,1.304,3.434
inbetween,8,0.129,1.308,0.123,0.981,0.514,1.308,0.778,2.453,0.41,1.635,0.501,1.799,0.369,2.126,0.315,2.944,0.548,2.616,1.151,3.107
inbetween,9,0.278,1.145,0.082,1.962,0.488,1.145,0.939,1.799,0.184,2.126,0.794,1.635,0.165,1.799,0.322,2.944,0.628,2.289,1.259,2.943
inbetween,10,0.46,0.818,0.066,0.818,0.256,1.799,0.471,1.799,0.13,1.472,1.054,1.308,0.158,1.962,0.28,2.126,0.456,2.616,0.651,2.453
inbetween,11,0.298,2.453,0.121,1.962,0.265,0.654,0.466,1.145,0.146,1.635,0.682,2.126,0.122,2.78,0.183,1.962,0.898,3.107,1.182,2.289
inbetween,12,0.255,0.654,0.084,0.981,0.303,1.145,0.487,2.453,0.189,1.472,0.738,1.635,0.169,1.472,0.109,2.126,0.946,2.616,0.797,2.289
inbetween,13,0.297,1.472,0.069,1.145,0.47,0.818,0.516,1.472,0.1,1.472,0.795,2.616,0.164,2.453,0.127,2.126,0.559,2.78,1.072,1.962
inbetween,14,0.132,1.145,0.08,1.145,0.421,0.818,0.532,1.472,0.094,1.472,0.46,0.981,0.158,2.289,0.185,2.289,0.708,2.126,1.167,2.289
inbetween,15,0.166,1.799,0.12,0.818,0.391,1.145,0.604,1.799,0.109,1.308,0.328,1.635,0.176,1.308,0.283,2.289,0.488,3.269,0.882,2.452
inbetween,16,0.162,0.818,0.084,1.308,0.311,0.654,0.36,0.654,0.256,0.818,0.487,2.126,0.302,2.126,0.539,1.962,0.303,1.962,0.471,2.453
inbetween,17,0.154,0.818,0.172,0.981,0.245,0.981,0.283,1.145,0.696,1.145,0.369,2.126,0.371,1.308,0.43,1.635,0.2,2.779,0.358,2.616
inbetween,18,0.051,1.472,0.234,1.308,0.224,0.818,0.51,1.472,1.378,1.308,0.868,2.126,0.664,2.944,1.476,2.126,0.424,2.126,0.778,2.78
inbetween,19,0.171,1.145,0.296,1.472,0.292,1.635,0.565,1.308,1.46,1.635,1.178,2.126,0.974,1.308,1.494,1.962,0.869,3.761,1.006,2.78
inbetween,20,0.193,0.818,0.287,1.799,0.278,1.145,0.665,1.308,0.969,1.308,1.069,1.635,0.536,2.289,0.802,2.289,0.737,2.78,0.762,2.944
inbetween,21,0.265,1.962,0.173,1.308,0.246,0.818,0.602,0.818,0.5,0.981,0.791,1.962,0.266,1.308,0.657,2.944,0.339,2.126,0.749,2.453
inbetween,22,0.085,0.818,0.115,0.818,0.212,1.635,0.484,1.308,0.572,1.472,0.382,1.962,0.172,1.472,0.236,1.472,0.396,1.962,0.454,1.962
inbetween,23,0.068,1.308,0.088,0.981,0.081,0.981,0.266,1.472,0.148,1.308,0.171,0.818,0.119,2.126,0.124,2.289,0.154,1.962,0.204,3.107
inbetween,0,0.051,0.818,0.074,1.308,0.048,1.145,0.162,1.145,0.042,0.981,0.148,1.799,0.095,1.962,0.112,1.962,0.069,1.962,0.118,2.453
inbetween,1,0.05,1.308,0.077,1.145,0.044,0.654,0.138,1.308,0.041,1.308,0.114,1.472,0.098,0.981,0.109,2.126,0.055,2.944,0.117,2.289
inbetween,2,0.05,1.145,0.069,1.145,0.035,1.635,0.094,0.818,0.042,1.472,0.149,1.635,0.095,1.799,0.121,2.289,0.071,1.962,0.124,2.289
inbetween,3,0.05,1.308,0.083,1.145,0.036,1.145,0.098,1.635,0.042,0.981,0.124,1.962,0.11,2.289,0.126,1.962,0.054,1.635,0.129,2.616
inbetween,4,0.05,1.145,0.065,0.327,0.037,0.981,0.09,0.981,0.044,1.635,0.286,1.799,0.162,1.472,0.105,2.616,0.076,2.453,0.132,2.289
inbetween,5,0.074,1.308,0.082,1.308,0.039,2.289,0.112,0.818,0.043,1.308,0.475,1.799,0.221,1.962,0.097,2.126,0.092,2.78,0.124,4.741
