date,hour,hh1: el,hh1: heat,hh2: el,hh2: heat,hh3: el,hh3: heat,hh4: el,hh4: heat,hh5: el,hh5: heat,hh6: el,hh6: heat,hh7: el,hh7: heat,hh8: el,hh8: heat,hh9: el,hh9: heat,hh10: el,hh10: heat
summer,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
summer,0,0.05,0.327,0.066,0.818,0.046,0.327,0.15,0.818,0.041,0,0.146,0.654,0.096,0.491,0.108,0,0.086,0,0.142,0.164
summer,1,0.05,0.491,0.072,0.491,0.043,0,0.115,0.327,0.041,0.327,0.128,0.818,0.096,0.164,0.109,0,0.077,0.491,0.131,0
summer,2,0.051,0.327,0.075,0.491,0.036,0.491,0.098,0.164,0.041,0.818,0.124,0,0.095,0.818,0.12,0.818,0.079,0.164,0.123,0.327
summer,3,0.049,0.327,0.074,0.164,0.038,0,0.087,0.164,0.042,0.491,0.16,0.818,0.101,0.327,0.104,0.981,0.069,0.327,0.145,0.164
summer,4,0.05,0.327,0.09,0.327,0.035,0.491,0.097,0,0.041,0.327,0.286,0.327,0.15,0.327,0.116,0.491,0.066,0.654,0.124,1.308
summer,5,0.065,0.164,0.073,0.164,0.038,0.491,0.101,0.164,0.044,0.327,0.318,1.308,0.241,0.327,0.098,0.164,0.072,0.327,0.146,0.981
summer,6,0.092,0.327,0.132,0.327,0.28,0.654,0.462,0.491,0.449,0.491,0.711,0.654,0.963,0.327,0.376,0.491,0.276,0.164,0.485,1.635
summer,7,0.174,0.654,0.468,1.308,0.44,0.327,0.945,0.818,0.602,0.491,0.553,0.327,0.723,0.327,0.484,0.327,0.491,0,0.905,1.145
summer,8,0.133,0.327,0.215,0.654,0.43,0.327,0.719,1.635,0.211,0.327,0.546,0.654,0.446,1.145,0.446,0.164,0.475,0.491,1.148,0.818
summer,9,0.302,0.491,0.082,0.164,0.448,0.654,0.676,1.145,0.136,0.491,0.758,0.981,0.461,0.818,0.564,0.818,0.725,0.164,1.395,0.327
summer,10,0.41,0.818,0.143,1.145,0.445,0.164,0.586,1.145,0.174,0.818,1.097,0.654,0.234,0.491,0.355,0.327,0.352,0.818,0.95,0.654
summer,11,0.435,0.327,0.128,0.654,0.474,0.491,0.615,0.491,0.169,0.654,0.579,0.981,0.15,0.327,0.206,0.491,0.33,0.654,0.885,0.654
summer,12,0.439,0.654,0.085,0.164,0.217,0.327,0.561,0.491,0.22,0.818,0.561,0.654,0.186,0.818,0.199,0.327,0.449,0.164,0.666,0.327
summer,13,0.399,0.654,0.08,0.327,0.53,0.491,0.648,0.818,0.192,0.491,0.58,0.327,0.268,0.654,0.22,0.327,0.595,0.327,0.653,0.164
summer,14,0.226,0.327,0.088,0.327,0.322,0.327,0.414,0.491,0.138,0.981,0.489,0.818,0.337,0.491,0.173,0.164,0.374,0.654,0.924,0.818
