date,hour,hh1: el,hh1: heat,hh2: el,hh2: heat,hh3: el,hh3: heat,hh4: el,hh4: heat,hh5: el,hh5: heat,hh6: el,hh6: heat,hh7: el,hh7: heat,hh8: el,hh8: heat,hh9: el,hh9: heat,hh10: el,hh10: heat
winter,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
winter,0,0.05,2.29,0.08,1.47,0.04,1.96,0.11,2.13,0.05,1.80,0.12,3.76,0.09,2.62,0.12,3.43,0.09,3.76,0.15,3.598
winter,1,0.05,1.47,0.08,1.80,0.04,1.80,0.11,1.47,0.05,2.13,0.12,1.80,0.10,3.27,0.11,3.43,0.08,4.25,0.14,3.761
winter,2,0.05,1.96,0.07,1.31,0.04,1.64,0.10,2.13,0.05,1.80,0.13,2.78,0.09,2.62,0.11,3.11,0.09,4.42,0.12,3.598
winter,3,0.05,1.80,0.08,2.13,0.04,2.13,0.11,1.64,0.04,2.29,0.18,2.45,0.10,3.11,0.10,3.93,0.11,4.25,0.11,4.415
winter,4,0.05,2.13,0.07,1.31,0.04,2.29,0.12,2.45,0.04,2.62,0.37,2.78,0.15,2.62,0.12,3.43,0.11,4.25,0.12,3.598
winter,5,0.05,1.31,0.08,1.96,0.06,1.80,0.13,1.64,0.06,1.64,0.58,2.45,0.21,2.78,0.12,3.60,0.14,4.58,0.16,4.904
winter,6,0.07,2.13,0.31,1.64,0.40,3.60,0.74,1.64,0.64,2.62,1.23,2.78,0.96,3.27,0.54,3.60,0.44,4.25,0.85,6.21
winter,7,0.09,1.96,0.35,1.15,0.59,2.45,0.87,2.45,0.61,2.45,0.91,2.94,0.85,3.43,0.68,4.09,0.63,4.58,1.41,6.048
winter,8,0.14,1.15,0.28,2.78,0.54,1.31,1.07,2.13,0.29,1.47,0.66,2.94,0.69,2.78,0.53,4.91,0.70,4.58,1.22,5.558
winter,9,0.11,2.45,0.19,2.62,0.38,1.96,0.75,2.62,0.13,2.62,0.93,2.29,0.26,3.11,0.43,3.93,0.72,4.74,0.98,3.761
winter,10,0.12,2.29,0.09,1.31,0.31,2.29,0.49,2.62,0.11,2.13,0.71,2.62,0.22,3.11,0.23,4.25,0.44,4.41,0.69,4.905
winter,11,0.13,2.13,0.16,2.13,0.20,1.64,0.28,2.29,0.11,2.62,0.65,3.11,0.12,3.60,0.25,3.60,0.65,4.58,1.34,3.924
winter,12,0.22,1.96,0.08,2.45,0.20,2.29,0.32,2.78,0.07,2.94,0.64,2.13,0.24,2.94,0.23,3.60,0.65,5.72,0.99,4.088
winter,13,0.34,2.13,0.08,0.98,0.22,1.31,0.50,1.96,0.12,2.94,0.65,3.11,0.22,2.94,0.16,3.43,0.56,4.74,1.24,4.578
winter,14,0.27,2.13,0.08,2.45,0.28,1.64,0.57,2.45,0.18,1.47,0.59,2.78,0.21,3.43,0.17,3.11,0.87,4.91,0.93,3.761
winter,15,0.36,2.29,0.09,1.47,0.24,1.31,0.45,1.64,0.21,2.45,0.39,2.94,0.17,2.78,0.17,3.93,0.31,4.25,0.71,3.761
winter,16,0.16,1.80,0.11,1.80,0.29,2.29,0.52,2.29,0.35,2.45,0.41,3.11,0.42,3.43,0.26,3.11,0.45,5.07,0.82,4.415
